name,content
샬롯,"여러분, 오늘 와주셔서 정말로 고마워요. 그대들이 있어 정말 행복해요."
샬롯,여러분한테도 이 쇼가 행복과 즐거움이 되었길 바래요.
샬롯,"항상 고마워요. 사랑해요, 여러분."
샬롯,"우리 다시 만나요, 집에 조심히 들어가고요~!"
샬롯,"제 쇼에 오셔서 감사합니다, 여러분!"
샬롯,"지금까지 저, Diva 샬롯의 화려한 이브닝쇼 였습니다~!"
브리아나,조용하다.
브리아나,이런...또 생각이 많아지기 시작해.
브리아나,"좀만 마시자, 술이 어디있지?"
브리아나,술을 마시면 금방 잠드니깐.
,(따르릉)
브리아나,여보세요.
???,"브리아나 난 당신의 팬이에요. 사랑해요, 사랑해요! 아 맞다 그..."
브리아나,...
브리아나,허억허억... 어떻게... 어떻게 전화한거지? 호텔이 내 정보를 팔았나?
브리아나,매번 겪어도 역시 적응 되지 않아. 정말 최악이야. 정말로.
,(술을 마신다)
???,못 생긴 것이. 여자라면 소화하기 힘든 액션 공연이여서 고되었을텐데 피부관리는 어떻게 하셨어요?
???,"샬롯씨, 이것에 대해 어떻게 생각하십니까. 샬롯 네가 정말로 좋아해서 그랬어 용서해줘!쫓겨내지 말아줘! 난 네 팬인데 이래도 되는거야?"
???,이 사람 이상하다고 말이 있던데. 기분이 오락가락해서 같이 일하기 힘들다고. 
???,"너 죽어, 너 왜 살아있는거야. 사이코패스 같으니."
???,"사랑해요! 샬롯! 사랑해요! 샬롯, 꺄아아악!!"
???,항상 행복하세요! 오늘 정말 최고의 날이었어요 
???,샬롯의 노래와 공연을 보고 요즘 사는 것이 행복해졌어요! 항상 좋은 에너지 주셔서 고마워요!
???,고마워요! 샬롯!
브리아나,어떻게 해야 참신하고 저번것을 뛰어 넘을 수 있을까.
브리아나,어떤 것을 해야 만족하실까. 어떤 것을 해야 즐길 수 있을까.
브리아나,"더 열심히, 더 노력해, 더 쏟아부어, 더 움직여, 더...더."
브리아나,실망시키지 않기 위해 열심히하자. 할 수 있어...할 수 있어...
