분류,감정,재료,설명
기쁨,희망,글록시니아 분말,갈려져 있는 분말. 누가 만들었을까?
기쁨,해방,지하수,오염되지 않은 물이 담겨 있는 지하수.
기쁨,행복,해바라기 씨앗,태양의 눈물로 만들어진 씨앗. 바라보고만 있어도 행복해 진다.
기쁨,즐거움,광대 버섯,먹으면 부작용으로 즐거워지는 감정만 느끼게 된다.
슬픔,우울,소라게 등딱지,운이 없는 사람들만 밟는다는 등딱지. 맨발로 밟으면 병원부터 가야된다.
슬픔,슬픔,소금 결정,너무 울어서 쌓인 눈물이 소금 결정으로 만들어 졌다.
슬픔,실망,투명 설탕 조각,너무 흔하게 볼수 있는 설탕 조각. 녹여 먹으면 맛있다.
슬픔,후회,선인장 가시,궁금해서 만지다가 가시에 찔리게 되면 모두 후회하게 된다.
화,배신,전갈 꼬리,강력한 독이 들어 있다는 전갈꼬리. 암살자들이 주로 사용한다고 한다.
화,분노,푸른 라벤더,딸이 파란 꽃을 가지고 싶다고 하자 엄마가 일일이 염료로 색을 칠해 만든 라벤더. 완성도가 높다.
화,억압,젖은 밀가루,장마가 와 밀가루가 다 젖어 쏟아졌다.
화,원망,튤립 뿌리,멍청한 한 남자가 튤립대신 튤립 뿌리를 선물해서 헤어졌다는 소문이 있다.
공포,의심,도토리 분말,다람쥐의 저장고에서 훔쳐서 만들어진 분말. 의심 많은 다람쥐때문에 가져오기 힘들어 희귀하다.
공포,혼란,염소 뿔,흥분한 염소가 근처 집을 들이받으면서 부러진 염소 뿔
공포,두려움,붉은 재,낙뢰로 불이 난 산에서 가져온 재. 왜 붉은색이지?
공포,불안,피 결정,드라큘라들이 인간에게서 채취한 피로 만들었다는 전설이 있다.
허,허망,검은 찻잎,차를 끌이다 졸아서 주전자에 눌러붙은 찾잎. 검게 탔다.
허,상실,시든 아몬드,방 구석에서 몇년동안 방치해둔 아몬드. 먹으면 배탈이 날 것 같다.
허,공허,불 결정,생각없이 불을 보는 것이 좋은 과학자가 만들어낸 불결정. 던지면 불이 날 수 있어 위험하다.
허,외로움,에메랄드빛 할미꽃,손녀들을 기다리다 쓸쓸히 외롭게 죽은 할머니 위에서 꽃이 피어났다는 전설이 있다.
